SCORES_TXT_BEGIN_0 0 100 9 BLEU
16 18 13 17 10 16 7 15 18 
17 18 15 17 13 16 11 15 18 
15 18 12 17 9 16 6 15 18 
16 18 14 17 12 16 10 15 18 
15 18 11 17 8 16 5 15 18 
16 18 10 17 6 16 2 15 18 
15 18 12 17 9 16 6 15 18 
16 18 13 17 11 16 9 15 18 
16 18 11 17 7 16 3 15 18 
17 18 12 17 9 16 6 15 18 
14 18 10 17 7 16 4 15 18 
15 18 12 17 9 16 6 15 18 
16 18 14 17 12 16 10 15 18 
17 18 13 17 10 16 7 15 18 
16 18 11 17 6 16 2 15 18 
16 18 11 17 7 16 3 15 18 
15 18 12 17 9 16 6 15 18 
16 19 12 18 8 17 4 16 18 
15 18 12 17 10 16 8 15 18 
16 18 14 17 12 16 10 15 18 
15 18 11 17 7 16 3 15 18 
15 18 12 17 9 16 6 15 18 
17 18 13 17 9 16 6 15 18 
16 18 12 17 8 16 4 15 18 
16 18 9 17 5 16 2 15 18 
16 18 9 17 5 16 2 15 18 
16 18 11 17 7 16 3 15 18 
16 18 10 17 5 16 2 15 18 
17 18 13 17 10 16 7 15 18 
15 18 8 17 4 16 1 15 18 
16 18 14 17 12 16 10 15 18 
17 19 14 18 11 17 8 16 18 
16 18 13 17 10 16 7 15 18 
16 18 14 17 12 16 10 15 18 
17 18 14 17 11 16 8 15 18 
16 18 10 17 6 16 3 15 18 
16 18 10 17 6 16 2 15 18 
14 18 10 17 7 16 4 15 18 
17 18 11 17 8 16 6 15 18 
15 18 9 17 5 16 1 15 18 
17 18 11 17 8 16 6 15 18 
17 18 13 17 10 16 7 15 18 
17 18 12 17 8 16 6 15 18 
15 19 11 18 7 17 4 16 18 
16 18 10 17 7 16 5 15 18 
15 18 10 17 6 16 2 15 18 
14 18 10 17 6 16 2 15 18 
16 18 12 17 9 16 6 15 18 
15 18 11 17 7 16 4 15 18 
17 18 12 17 9 16 7 15 18 
17 18 12 17 9 16 6 15 18 
14 18 10 17 7 16 4 15 18 
15 18 12 17 10 16 8 15 18 
16 18 11 17 8 16 5 15 18 
15 18 9 17 4 16 1 15 18 
16 18 11 17 7 16 3 15 18 
16 19 13 18 10 17 8 16 18 
16 19 9 18 5 17 2 16 18 
16 18 11 17 7 16 4 15 18 
